               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10091,            0.053216,            0.073422,          0.00021751,            0.014743,          0.00016977,           4.113e-05,            0.096121,            0.030282,            0.066354,             0.07024,           0.0033067,           0.0033067
                   1,            0.096297,            0.053734,            0.059535,              0.3501,            0.011879,          7.2076e-05,          2.0406e-05,            0.096981,            0.042554,            0.056703,            0.040185,           0.0065852,           0.0065852
                   2,            0.092638,            0.052238,            0.052363,             0.95113,           0.0054772,          0.00057706,          0.00013128,            0.091266,             0.03893,            0.054359,            0.010075,           0.0098088,           0.0098088
                   3,            0.085897,            0.055117,            0.050582,            0.050651,            0.048966,            0.026707,            0.015664,            0.088982,            0.030028,            0.052482,           0.0097525,           0.0097525,           0.0097525
                   4,            0.081052,            0.056458,            0.049252,             0.95579,           0.0058026,           0.0057734,           0.0017448,            0.080107,            0.032775,            0.051121,           0.0097525,           0.0097525,           0.0097525
                   5,            0.077466,            0.055544,            0.047715,             0.55528,             0.05901,           0.0065977,           0.0018089,            0.079726,             0.03065,            0.050597,             0.00967,             0.00967,             0.00967
                   6,            0.075361,            0.054866,            0.045916,             0.79731,            0.025574,            0.015957,           0.0048255,            0.074653,            0.031438,            0.047484,           0.0095875,           0.0095875,           0.0095875
                   7,            0.073653,            0.055429,            0.044749,             0.67058,            0.034525,            0.015943,           0.0050489,            0.075728,            0.030089,            0.046806,            0.009505,            0.009505,            0.009505
                   8,            0.072088,            0.054573,             0.04303,             0.56981,            0.028923,            0.018298,           0.0063524,            0.073771,            0.029684,            0.045232,           0.0094225,           0.0094225,           0.0094225
                   9,             0.07115,            0.054942,            0.041441,             0.47305,             0.03284,            0.024135,           0.0078018,             0.07214,            0.029315,            0.046014,             0.00934,             0.00934,             0.00934
                  10,            0.070186,            0.053882,            0.040992,              0.4451,            0.045184,            0.034638,            0.012688,             0.07132,            0.029295,            0.042971,           0.0092575,           0.0092575,           0.0092575
                  11,            0.068928,            0.053986,            0.039665,             0.22678,            0.061456,              0.0436,            0.014689,            0.070016,            0.029514,            0.041721,            0.009175,            0.009175,            0.009175
                  12,             0.06822,            0.054699,            0.039041,             0.38709,            0.055747,            0.046191,            0.016396,             0.06949,            0.029145,            0.041843,           0.0090925,           0.0090925,           0.0090925
                  13,             0.06784,            0.053204,             0.03847,             0.28069,            0.087486,            0.053614,            0.021467,            0.069127,            0.029199,            0.039647,             0.00901,             0.00901,             0.00901
                  14,            0.067463,            0.053695,            0.036219,             0.17156,            0.085985,            0.062214,            0.024254,            0.068331,             0.02944,            0.039433,           0.0089275,           0.0089275,           0.0089275
                  15,            0.066675,            0.053441,            0.036368,             0.28979,            0.088638,            0.065365,            0.023348,            0.068975,            0.029426,            0.039822,            0.008845,            0.008845,            0.008845
                  16,            0.066367,            0.053477,            0.035462,             0.34949,            0.083874,            0.063784,            0.023909,            0.068892,            0.029514,            0.042365,           0.0087625,           0.0087625,           0.0087625
                  17,            0.065579,            0.052384,            0.034614,             0.21257,              0.1114,            0.069519,            0.030383,            0.067209,            0.029481,            0.040995,             0.00868,             0.00868,             0.00868
                  18,            0.065472,            0.052559,            0.034192,             0.25741,             0.12693,             0.10376,            0.040006,            0.065845,            0.029268,            0.036372,           0.0085975,           0.0085975,           0.0085975
