               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10257,            0.038339,            0.073969,           0.0002205,            0.026718,          0.00018154,          4.5007e-05,                 nan,                 nan,                 nan,             0.07024,           0.0033067,           0.0033067
                   1,            0.097953,            0.040091,            0.061761,           0.0002928,            0.017476,           0.0002385,          6.4144e-05,                 nan,                 nan,                 nan,            0.040185,           0.0065852,           0.0065852
                   2,             0.09374,            0.039417,            0.054528,              0.8028,           0.0013532,          0.00063659,          0.00015369,                 nan,                 nan,                 nan,            0.010075,           0.0098088,           0.0098088
                   3,            0.087254,            0.040881,            0.052939,               0.853,           0.0055857,           0.0014074,          0.00040187,                 nan,                 nan,                 nan,           0.0097525,           0.0097525,           0.0097525
                   4,            0.082872,             0.04147,             0.05151,           0.0024263,              0.1296,           0.0034429,           0.0009769,                 nan,                 nan,                 nan,           0.0097525,           0.0097525,           0.0097525
                   5,            0.079353,            0.041396,            0.050184,             0.80566,            0.012632,           0.0095157,            0.002919,                 nan,                 nan,                 nan,             0.00967,             0.00967,             0.00967
                   6,            0.077332,            0.041754,            0.048758,             0.56295,            0.019999,           0.0079236,           0.0027146,                 nan,                 nan,                 nan,           0.0095875,           0.0095875,           0.0095875
                   7,            0.075696,            0.041253,            0.048729,             0.63198,            0.021557,             0.02158,            0.007316,                 nan,                 nan,                 nan,            0.009505,            0.009505,            0.009505
                   8,            0.074667,            0.040628,            0.047561,              0.6261,            0.024367,            0.019863,           0.0056403,                 nan,                 nan,                 nan,           0.0094225,           0.0094225,           0.0094225
                   9,            0.073599,            0.040638,            0.046499,              0.6129,            0.031119,             0.01656,           0.0057052,                 nan,                 nan,                 nan,             0.00934,             0.00934,             0.00934
                  10,            0.072532,            0.040531,            0.045577,             0.48132,            0.036342,            0.021119,           0.0079189,                 nan,                 nan,                 nan,           0.0092575,           0.0092575,           0.0092575
                  11,            0.071859,             0.04013,            0.044306,             0.38439,            0.052502,            0.024585,           0.0089882,                 nan,                 nan,                 nan,            0.009175,            0.009175,            0.009175
                  12,            0.071548,            0.040797,            0.043402,             0.28825,            0.065298,            0.027113,            0.010512,                 nan,                 nan,                 nan,           0.0090925,           0.0090925,           0.0090925
                  13,            0.070537,            0.039724,            0.043246,             0.38899,            0.081132,            0.046478,            0.020592,                 nan,                 nan,                 nan,             0.00901,             0.00901,             0.00901
                  14,            0.070425,            0.040156,            0.042032,             0.27017,            0.088093,            0.044348,            0.018123,                 nan,                 nan,                 nan,           0.0089275,           0.0089275,           0.0089275
                  15,            0.069659,            0.040494,            0.041678,             0.17891,            0.065145,            0.049478,             0.02183,                 nan,                 nan,                 nan,            0.008845,            0.008845,            0.008845
                  16,            0.069399,            0.039906,            0.040614,             0.38717,            0.080639,             0.06225,             0.02706,                 nan,                 nan,                 nan,           0.0087625,           0.0087625,           0.0087625
                  17,            0.068894,            0.039551,            0.040096,             0.46363,            0.081429,            0.062668,            0.026679,                 nan,                 nan,                 nan,             0.00868,             0.00868,             0.00868
                  18,            0.068475,            0.039574,            0.039633,             0.25695,             0.11235,            0.067238,            0.029558,                 nan,                 nan,                 nan,           0.0085975,           0.0085975,           0.0085975
                  19,            0.068419,            0.039473,            0.038983,             0.20174,             0.10975,            0.063418,            0.025976,                 nan,                 nan,                 nan,            0.008515,            0.008515,            0.008515
                  20,            0.067743,            0.039598,            0.038442,              0.1387,             0.10405,            0.055495,            0.020213,                 nan,                 nan,                 nan,           0.0084325,           0.0084325,           0.0084325
                  21,            0.067244,            0.039142,            0.038161,             0.20717,            0.086844,            0.062296,              0.0266,                 nan,                 nan,                 nan,             0.00835,             0.00835,             0.00835
                  22,            0.066856,            0.039647,            0.036832,             0.29905,             0.11394,            0.078551,            0.035246,                 nan,                 nan,                 nan,           0.0082675,           0.0082675,           0.0082675
                  23,            0.066503,            0.039837,            0.036611,             0.18091,             0.12484,            0.081443,            0.035188,                 nan,                 nan,                 nan,            0.008185,            0.008185,            0.008185
                  24,            0.066373,            0.039454,            0.036807,             0.14437,              0.1125,            0.087961,            0.035641,                 nan,                 nan,                 nan,           0.0081025,           0.0081025,           0.0081025
                  25,            0.065869,            0.039126,            0.035892,             0.21249,              0.1429,            0.088019,            0.036222,                 nan,                 nan,                 nan,             0.00802,             0.00802,             0.00802
