                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1596,                 1.9225,                 1.2587,                0.52441,                0.45403,                0.44785,                0.28893,                 1.1714,                 1.5445,                 1.2196,             0.00013844,             0.00013844,             0.00013844
                      1,                 1.1905,                 1.5459,                 1.2857,                0.50915,                0.39375,                0.38163,                0.24807,                 1.2363,                 1.6054,                 1.2769,             0.00024998,             0.00024998,             0.00024998
                      2,                 1.2486,                 1.6121,                 1.3203,                0.47086,                0.37816,                0.34906,                0.21393,                 1.3009,                  1.689,                 1.3389,             0.00033399,             0.00033399,             0.00033399
                      3,                 1.2452,                 1.5692,                  1.321,                0.49647,                0.36484,                0.37487,                 0.2314,                 1.3007,                 1.6648,                 1.3357,             0.00029315,             0.00029315,             0.00029315
                      4,                 1.2344,                 1.4983,                  1.311,                0.46353,                 0.4104,                0.38172,                0.23711,                 1.2843,                 1.6004,                 1.3092,             0.00029315,             0.00029315,             0.00029315
                      5,                 1.2032,                 1.4547,                  1.288,                0.54223,                0.40418,                0.41797,                0.26366,                 1.2594,                 1.5537,                 1.2905,             0.00025187,             0.00025187,             0.00025187
                      6,                 1.1723,                 1.3711,                 1.2697,                0.50692,                0.41826,                0.42029,                 0.2675,                 1.2491,                 1.4985,                 1.2834,             0.00021059,             0.00021059,             0.00021059
                      7,                 1.1374,                 1.2829,                 1.2449,                0.55266,                0.41814,                0.43718,                0.28503,                 1.2009,                 1.4688,                  1.249,              0.0001693,              0.0001693,              0.0001693
                      8,                 1.0952,                 1.2119,                 1.2207,                0.59059,                0.44469,                0.47639,                0.31586,                 1.1826,                 1.4244,                 1.2367,             0.00012802,             0.00012802,             0.00012802
                      9,                  1.066,                 1.1462,                 1.2016,                0.56558,                 0.4635,                0.48581,                0.32233,                 1.1634,                 1.3521,                 1.2299,             8.6736e-05,             8.6736e-05,             8.6736e-05
