               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098023,            0.069761,            0.057405,           0.0054494,              0.0284,           0.0030717,           0.0006533,            0.091926,            0.037939,            0.052698,            0.070042,           0.0033287,           0.0033287
                   1,            0.084037,            0.070115,            0.047713,             0.86406,            0.017493,            0.010454,           0.0035727,            0.078127,            0.038611,            0.047851,             0.04002,             0.00664,             0.00664
                   2,             0.07484,            0.069643,            0.042904,             0.25509,            0.048115,             0.03658,            0.014261,            0.069506,            0.039501,            0.042207,            0.009976,           0.0099294,           0.0099294
                   3,            0.069837,            0.068453,             0.03791,             0.25035,             0.11704,            0.068651,            0.026073,            0.065916,            0.038373,            0.038384,            0.009901,            0.009901,            0.009901
                   4,            0.066661,            0.068314,            0.034149,             0.21933,             0.14929,             0.10332,            0.040213,             0.06288,            0.036635,            0.032439,            0.009901,            0.009901,            0.009901
                   5,            0.064792,             0.06654,            0.031619,             0.22296,             0.17943,             0.13308,             0.05817,            0.060933,            0.036654,            0.031007,            0.009868,            0.009868,            0.009868
                   6,            0.063485,            0.065962,            0.029804,             0.26129,              0.2328,              0.1688,            0.073861,            0.059255,             0.03592,            0.028029,            0.009835,            0.009835,            0.009835
                   7,            0.062366,            0.065804,            0.028396,             0.27476,              0.2304,              0.1802,            0.080633,            0.057991,            0.035926,            0.026787,            0.009802,            0.009802,            0.009802
                   8,            0.061418,            0.065765,            0.027311,             0.33246,             0.26687,             0.21971,             0.10304,            0.057204,            0.035806,            0.025022,            0.009769,            0.009769,            0.009769
                   9,            0.060547,            0.065408,            0.026072,               0.316,             0.27942,             0.22252,             0.10438,            0.055805,            0.035425,            0.024058,            0.009736,            0.009736,            0.009736
                  10,            0.059977,            0.064762,             0.02538,             0.32725,             0.27833,             0.23453,             0.11174,            0.055436,            0.035384,            0.023347,            0.009703,            0.009703,            0.009703
                  11,            0.059245,            0.064219,            0.024778,              0.3755,             0.31699,             0.27315,             0.13215,             0.05442,            0.034984,            0.021712,             0.00967,             0.00967,             0.00967
                  12,            0.058808,            0.064053,            0.023992,             0.35648,             0.30749,             0.26543,             0.13091,            0.053926,            0.034954,            0.021657,            0.009637,            0.009637,            0.009637
                  13,            0.058245,            0.064241,            0.023518,             0.38287,             0.31211,             0.27602,             0.13901,            0.053504,            0.034498,            0.020642,            0.009604,            0.009604,            0.009604
                  14,            0.057743,            0.063367,            0.022879,             0.40079,               0.328,             0.29693,              0.1462,            0.052807,            0.034565,            0.020488,            0.009571,            0.009571,            0.009571
                  15,             0.05741,            0.063182,            0.022506,             0.41631,             0.31789,             0.30662,             0.15763,            0.052293,            0.034224,            0.019612,            0.009538,            0.009538,            0.009538
                  16,            0.057073,            0.062807,             0.02219,             0.41409,             0.33881,             0.31813,             0.16255,            0.051786,            0.034389,            0.019249,            0.009505,            0.009505,            0.009505
                  17,            0.056776,            0.062498,            0.021814,             0.41013,             0.36289,             0.32414,             0.16761,            0.051631,            0.033891,            0.018639,            0.009472,            0.009472,            0.009472
                  18,            0.056396,            0.063398,            0.021561,             0.44347,             0.35052,             0.33732,             0.17578,            0.051085,            0.033675,            0.018352,            0.009439,            0.009439,            0.009439
                  19,            0.056048,            0.062647,            0.021157,             0.45013,             0.35901,             0.34056,             0.18203,            0.050865,            0.033817,            0.018079,            0.009406,            0.009406,            0.009406
                  20,            0.055894,            0.062715,            0.020905,             0.45214,              0.3666,             0.35085,             0.18537,            0.050555,            0.033688,            0.017858,            0.009373,            0.009373,            0.009373
                  21,            0.055489,            0.062264,            0.020475,             0.47081,             0.37434,             0.35881,              0.1899,            0.050292,            0.033657,            0.017661,             0.00934,             0.00934,             0.00934
