                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0272,                 3.4824,                 1.8946,                0.48024,                0.19497,                0.18666,                 0.1201,                 1.5354,                 2.3978,                 1.5764,             0.00013844,             0.00013844,             0.00013844
                      1,                 1.5468,                 2.2059,                  1.548,                0.45877,                0.34484,                0.33357,                0.21781,                  1.384,                 1.8361,                   1.44,             0.00024998,             0.00024998,             0.00024998
                      2,                 1.4263,                 1.8975,                 1.4585,                0.49684,                0.36724,                0.36498,                0.23261,                 1.3435,                  1.722,                 1.4052,             0.00033399,             0.00033399,             0.00033399
                      3,                 1.3569,                 1.7421,                 1.4044,                0.52674,                0.40457,                0.40881,                0.26811,                 1.2886,                  1.608,                 1.3489,             0.00029315,             0.00029315,             0.00029315
                      4,                 1.2991,                 1.6262,                 1.3677,                0.53589,                0.40656,                0.41672,                0.26942,                 1.2885,                 1.5705,                 1.3482,             0.00029315,             0.00029315,             0.00029315
                      5,                 1.2724,                 1.5659,                 1.3502,                0.58822,                0.41818,                 0.4539,                0.30175,                 1.2433,                 1.4889,                 1.3094,             0.00025187,             0.00025187,             0.00025187
                      6,                 1.2353,                 1.4997,                 1.3205,                 0.5327,                 0.4438,                0.44571,                0.29597,                 1.2269,                 1.4668,                 1.2949,             0.00021059,             0.00021059,             0.00021059
                      7,                 1.2111,                  1.435,                 1.3038,                0.56697,                0.45315,                0.46304,                  0.311,                 1.2086,                 1.4189,                 1.2826,              0.0001693,              0.0001693,              0.0001693
                      8,                 1.1841,                 1.3954,                 1.2863,                0.58922,                0.45759,                0.47694,                0.31946,                 1.2071,                 1.3735,                 1.2762,             0.00012802,             0.00012802,             0.00012802
                      9,                 1.1689,                 1.3641,                  1.281,                0.59857,                 0.4635,                0.49031,                0.33027,                 1.1822,                 1.3528,                 1.2553,             8.6736e-05,             8.6736e-05,             8.6736e-05
